brand,name,release_year,accords,top_notes,middle_notes,base_notes
Maison Francis Kurkdjian,Aqua Media Cologne Forte,2023,citrus; fresh; green; soft spicy; powdery; floral; musky; fresh spicy; woody; anis,Bergamot; Vervain,Fennel; Hedione,Matcha Tea; Musk; Woodsy Notes
Maison Francis Kurkdjian,Aqua Universalis,2009,citrus; white floral; fresh; musky; aromatic,,,Lily-of-the-Valley; Amalfi Lemon; Bergamot; Musk; Orange Blossom; Orange; Woodsy Notes
Maison Francis Kurkdjian,Aqua Universalis Cologne Forte,2021,musky; citrus; floral; sweet; powdery; white floral; fresh spicy; green; aromatic,Bergamot,Sweet Pea; Mock Orange,White Musk
Maison Francis Kurkdjian,Aqua Universalis Forte,2011,white floral; citrus; musky; aromatic; powdery; woody; animalic,Amalfi Lemon; Bergamot,White Flowers; Jasmine; Rose,Musk; Woodsy Notes
Maison Francis Kurkdjian,Aqua Vitae,2013,citrus; vanilla; woody; fresh; aromatic; white floral; sweet; floral,,,Lemon; Sicilian Mandarin; Guaiac Wood; Tonka Bean; Vanilla; Jasmine; Hedione
Maison Francis Kurkdjian,Aqua Vitae Cologne Forte,2021,citrus; floral; musky; powdery; aldehydic; woody; fresh spicy,Mandarin Orange; Bergamot,Floral Notes; Solar Notes,Musk; Sandalwood
Maison Francis Kurkdjian,Aqua Vitae Forte,2015,citrus; warm spicy; woody; aromatic; yellow floral; sweet; white floral,Lemon; Guatemalan Cardamom; Sicilian Mandarin; Ceylon Cinnamon; Bergamot; Pink Pepper,Madagascar Ylang-Ylang; Tunisian Orange Blossom,Sandalwood; Haitian Vetiver
Maison Francis Kurkdjian,Baccarat Rouge 540,2015,woody; amber; warm spicy; metallic; fresh spicy; aromatic; white floral; animalic; fresh,Saffron; Jasmine,Amberwood; Ambergris; Hedione,Fir Resin; Cedar; Sugar; Ambroxan; Oakmoss
Maison Francis Kurkdjian,Baccarat Rouge 540 Édition Millésime,2025,amber; woody; mossy; warm spicy; earthy; sweet; floral; fresh; musky,Saffron; Jasmine,Amberwood; Ambergris; Hedione,oak moss; Ambroxan; Sugar; Cedar; Fir Resin
Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait Limited Edition 2021,2021,amber; musky; woody; powdery; almond; warm spicy; animalic; white floral; nutty; metallic,Saffron; Bitter Almond,Virginian Cedar; Egyptian Jasmine,Ambergris; Cashmeran; Ambroxan; Musk; Woody Notes
Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait Limited Edition,2020,woody; amber; almond; musky; animalic; powdery; white floral; nutty; warm spicy; fruity,Bitter Almond; Saffron,Cedar; Egyptian Jasmine,Ambergris; Woody Notes; Musk
Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait de Parfum,2017,amber; almond; warm spicy; woody; musky; animalic; nutty; fruity; metallic; white floral,Bitter Almond; Saffron,Egyptian Jasmine; Virginia Cedar,Ambergris; Woody Notes; Musk; Ambroxan; Cashmeran
Maison Francis Kurkdjian,Baccarat Rouge 540 Scented Hair Mist,2022,woody; amber; warm spicy; fresh; fresh spicy; white floral; aromatic; animalic; conifer; metallic,Saffron; Jasmine; Hedione,Ambergris; Amberwood,Fir Resin; Cedar
Maison Francis Kurkdjian,Ciel de Gum,2013,amber; cinnamon; vanilla; white floral; warm spicy; soft spicy; rose; powdery; sweet; floral,,,Amber; Cinnamon; Jasmine; Vanilla; Pink Pepper; Rose
Maison Francis Kurkdjian,Cologne Pour Le Matin,2009,citrus; aromatic; fresh spicy; lavender; white floral; herbal,,,Bergamot; Lavender; Thyme; Amalfi Lemon; African Orange Flower
Maison Francis Kurkdjian,Cologne Pour Le Soir,2009,amber; honey; warm spicy; rose; smoky; balsamic; sweet; floral,,,White Honey; Benzoin; Incense; Rose
Maison Francis Kurkdjian,Coloratura,2012,white floral; fresh; floral; citrus; rose; green,Mandarin Orange; Sicilian Lemon,Lily-of-the-Valley; Peony; White Lily; Rose,Vetiver; Ambergris
Maison Francis Kurkdjian,Elle 25,,floral; musky; woody; powdery; mossy,,,Floral Notes; Musk; Virginia Cedar; oak moss
Maison Francis Kurkdjian,Feminin Pluriel,2014,white floral; violet; powdery; iris; rose; woody; earthy; floral; fresh; patchouli,,,Iris; Rose; Violet; Lily-of-the-Valley; Vetiver; Indonesian Patchouli Leaf; Orange Blossom; Jasmine
Maison Francis Kurkdjian,Floralia,2011,white floral; rose; citrus; floral; fresh; fresh spicy; green,,,Rose; Jasmine; Bergamot; Lily-of-the-Valley
Maison Francis Kurkdjian,Gentle Fluidity Gold,2019,vanilla; powdery; musky; sweet; aromatic; fresh spicy; woody,Juniper Berries; Nutmeg,Coriander,Vanilla; Musk; Caramel; Amberwood
Maison Francis Kurkdjian,Gentle Fluidity Silver,2019,aromatic; fresh spicy; woody; musky; powdery,Juniper Berries; Nutmeg; Bergamot; Pineapple,Coriander,Musk; Woody Notes; Cedar; Amber; Vanilla
Maison Francis Kurkdjian,Grand Soir,2016,amber; vanilla; powdery; sweet; aromatic,Spanish Labdanum; Orange,Lavender; Siam Benzoin,Amber; Vanilla; Tonka Bean; Musk; Cedar
Maison Francis Kurkdjian,Kurky,2025,fruity; sweet; musky; powdery; vanilla,Peach; Raspberry,Gummy Candies; Fruity Notes; Hedione; Rose,White Musk; Vanilla; Cream; Sandalwood; Rice; Popcorn
Maison Francis Kurkdjian,Kurky Eau Parfumée,2026,fruity; vanilla; sweet; powdery; musky,Raspberry; Peach,Gummy Candies,Vanilla; White Musk
Maison Francis Kurkdjian,L'Homme À la Rose,2020,rose; amber; citrus; woody; aromatic; herbal; floral; soft spicy; musky; fresh spicy,,,May Rose; Damask Rose; Grapefruit; Amberwood; Sage; Spanish Labdanum
Maison Francis Kurkdjian,L'eau À la Rose,2019,rose; floral; fresh; fruity; musky; powdery; tropical; violet; aquatic,Litchi; Pear; Green Accord,Damask Rose; Grasse Rose; Peony; Violet,Musk
Maison Francis Kurkdjian,Le Beau Parfum 2025,2025,white floral; tuberose; yellow floral; animalic; sweet,,,Tuberose; Jasmine; Ylang Ylang; Orange Blossom
Maison Francis Kurkdjian,Le Beau Parfum,2015,white floral; tuberose; yellow floral; sweet; animalic,,,Tuberose; Madagascar Ylang-Ylang; Tunisian Orange Blossom; Indian Jasmine
Maison Francis Kurkdjian,Le Beau Parfum Limited Edition,2015,white floral; tuberose; yellow floral; sweet; animalic,,,Tuberose; Madagascar Ylang-Ylang; Tunisian Orange Blossom; Indian Jasmine
Maison Francis Kurkdjian,Lumière Noire Pour Femme,2009,rose; patchouli; yellow floral; warm spicy; woody; green; aromatic; fresh spicy; balsamic; floral,,,Rose; Narcissus; Patchouli; Caraway; Red Chilli Pepper
Maison Francis Kurkdjian,Lumière Noire Pour Homme,2009,rose; patchouli; herbal; warm spicy; woody; fresh spicy; aromatic; cinnamon; earthy; floral,,,Rose; Patchouli; Artemisia; Cinnamon; Cumin
Maison Francis Kurkdjian,Maison Francis Kurkdjian Limited Crystal Edition Fragrances,2011,amber; balsamic; white floral; aromatic; floral; smoky; fresh spicy; herbal; sweet; rose,,,Resin; Marigold; Jasmine; Incense; Rose
Maison Francis Kurkdjian,Masculin Pluriel,2014,woody; lavender; aromatic; earthy; patchouli; leather,,,Lavender; Vetiver; Patchouli; Cedar; Leather; Woody Notes
Maison Francis Kurkdjian,Oud,2012,warm spicy; oud; aromatic; woody; balsamic; metallic; patchouli; leather; conifer; fresh spicy,,,Saffron; elemi; Agarwood (Oud); Patchouli; Cedar
Maison Francis Kurkdjian,Oud Cashmere Mood,2013,amber; oud; vanilla; warm spicy; balsamic; musky,,,Agarwood (Oud); Labdanum; Benzoin; Vanila
Maison Francis Kurkdjian,Oud Extrait de Parfum,2018,oud; warm spicy; woody; vanilla; aromatic; balsamic; musky; metallic; leather; floral,Saffron; Elemi resin,Vanilla; Ambrette (Musk Mallow); Atlas Cedar,Laotian Oud; Indonesian Patchouli Leaf
Maison Francis Kurkdjian,Oud Satin Mood,2015,rose; floral; oud; amber; vanilla; powdery,Bulgarian Rose; Violet; Strawberry,Turkish Rose,Agarwood (Oud); Vanilla; Amber; Benzoin; Caramel; Cedar
Maison Francis Kurkdjian,Oud Satin Mood Extrait de Parfum,2017,oud; vanilla; powdery; amber; violet; rose; fresh spicy; warm spicy; floral; aromatic,Violet; Geranium; Ceylon Cinnamon; Cardamom,Damask Rose; Turkish Rose,Agarwood (Oud); Vanilla; Amber; Benzoin; Caramel; Musk; Cedar
Maison Francis Kurkdjian,Oud Silk Mood,2018,rose; oud; floral; woody; herbal; fresh spicy; green; citrus; aromatic,Bulgarian Rose; Chamomile; Bergamot,Guaiac Wood; Hedione,Agarwood (Oud); Papyrus
Maison Francis Kurkdjian,Oud Silk Mood Extrait de Parfum,2013,rose; oud; floral; herbal; woody; fresh spicy; green; leather,,,Bulgarian Rose; Agarwood (Oud); Chamomile; Papyrus
Maison Francis Kurkdjian,Oud Velvet Mood,2013,oud; warm spicy; amber; cinnamon; balsamic; metallic; leather; fresh spicy,,,Agarwood (Oud); Copahu Balm; Saffron; Ceylon Cinnamon
Maison Francis Kurkdjian,Oud Velvet Mood Extrait de Parfum,2026,leather; oud; fruity; musky; powdery; sweet,,,Suede; Peach; Oud
Maison Francis Kurkdjian,Petit Matin,2016,citrus; musky; white floral; aromatic; lavender; sweet; amber; floral; powdery; animalic,,,Italian Lemon; Orange Blossom; Musk; Lavender; Ambroxan; Hawthorn
Maison Francis Kurkdjian,Reflets d'Ambre,2024,amber; floral; soft spicy; vanilla; white floral; woody; patchouli; fresh; musky; balsamic,Pink Pepper,Hedione; Jasmine; Rose; Cinnamon,Amber; Labdanum; Vanilla; Patchouli
Maison Francis Kurkdjian,Trianon Palace Versailles,,floral; woody,,,Floral Notes; Woodsy Notes
